지역,살인_발생,살인_검거,강도_발생,강도_검거,강간_발생,강간_검거,절도_발생,절도_검거,폭력_발생,폭력_검거
강남,3,3,15,12,300,225,2411,984,2465,2146
강동,4,3,6,8,156,123,2366,789,2712,2248
강북,7,8,14,13,153,126,1434,618,2649,2348
강서,7,8,13,13,262,191,2096,1260,3207,2718
관악,9,8,12,14,320,221,2706,827,3298,2642
광진,4,4,14,26,240,220,3026,1277,2625,2180
구로,8,6,15,11,281,164,2335,889,3007,2432
금천,3,4,6,6,151,122,1567,888,2054,1776
남대문,1,0,6,4,65,46,1153,382,869,794
노원,10,10,7,7,197,121,2193,801,2723,2329
도봉,3,3,9,10,102,106,1063,478,1487,1303
동대문,5,5,13,13,173,146,1981,814,2548,2227
동작,5,5,9,5,285,139,1865,661,1910,1587
마포,8,8,14,10,294,247,2555,813,2983,2519
방배,1,2,1,1,59,56,653,186,547,491
서대문,2,2,5,4,154,124,1812,738,2056,1711
서부,2,2,2,1,70,59,819,293,1192,1038
서초,7,4,8,5,334,193,1982,905,1852,1607
성동,4,4,9,8,126,119,1607,597,1612,1395
성북,2,2,2,1,86,71,953,409,1194,1015
송파,11,10,13,10,220,178,3239,1129,3295,2786
수서,10,7,6,6,149,124,1439,666,1819,1559
양천,3,5,6,3,120,105,1890,672,2509,2030
영등포,14,12,22,20,295,183,2964,978,3572,2961
용산,5,5,14,14,194,173,1557,587,2050,1704
은평,1,1,7,5,96,82,1095,418,1461,1268
종로,3,3,6,5,115,98,1070,413,1278,1070
종암,3,3,3,3,64,53,832,332,1015,840
중구,13,12,11,9,187,148,2135,829,2847,2407
중랑,2,2,3,2,105,65,1395,477,1355,1170
혜화,3,2,5,4,96,63,1114,424,1015,861
계,163,153,276,253,5449,4091,55307,21534,65206,55162
